assets ID,bldgID,BuildingYear,AssetFloor
91600249,53320465,,
91600250,53320465,,
91600251,52427407,,
91600252,52416466,,1
91600253,52416351,1962,
91600254,52416351,1962,1
91600255,52416351,1962,1
91600256,53317199,1980,0
91600257,53317199,,0
91600258,52412628,,1
91600259,52412628,,1
91600260,53315188,1970,
91600261,53315188,,
91600262,52396231,,
91600263,52396246,1950,1
91600264,52396246,,1
91600265,53316543,1968,
91600266,52405458,1998,1
91600267,52405458,1998,1
91600268,52405458,1998,1
91600269,52405458,1998,1
91600270,52405458,1998,1
91600271,52405458,1998,1
91600272,52405458,1998,1
91600273,52405460,,1
91600274,52405460,,1
91600275,52405461,1993,
91600276,52405461,1990,0
91600277,52405461,1993,1
91600278,52405461,1993,1
91600279,52405461,1990,2
91600280,52405461,1993,2
91600281,52405461,1990,3
91600282,52405461,1990,3
91600283,52405461,1993,0
91600284,52405461,1993,0
91600285,52405461,1993,1
91600286,52405461,1993,1
91600287,52405461,1993,0
91600288,52405461,1990,2
91600289,52405461,1993,2
91600290,52405461,1993,3
91600291,52405461,1993,1
91600292,52405461,1993,1
91600293,52405461,1993,2
91600294,52405461,1993,2
91600295,52405461,1993,3
91600296,52405461,1993,0
91600297,52405461,1993,0
91600298,52405462,,
91600299,53315425,1992,
91600300,52405946,,
91600301,52405947,,
91600302,52403235,,1
91600303,52403235,,1
91600304,52404222,1991,
91600305,52404222,1991,0
91600306,52404222,1992,0
91600307,52404222,1991,1
91600308,52404222,1991,1
91600309,52404222,1993,2
91600310,52404222,1991,2
91600311,52404222,1991,3
91600312,52404222,1991,3
91600313,52403346,1960,1
91600314,52403346,1960,1
91600315,52403367,1992,
91600316,52403567,1960,
91600317,52403567,1960,1
91600318,52403567,1960,1
91600319,52403567,1960,2
91600320,52403567,1960,2
91600321,52403567,1960,3
91600322,52403567,1960,3
91600323,52403567,1960,4
91600324,52403567,1960,4
91600325,52403567,1960,1
91600326,52403567,1960,1
91600327,52403567,1960,2
91600328,52403567,1960,1
91600329,52403567,1960,2
91600330,52403567,1960,3
91600331,52403567,1960,3
91600332,52403567,1960,4
91600333,52403567,1960,4
91600334,52403567,1960,1
91600335,52403567,1960,1
91600336,52403567,1960,2
91600337,52403567,1960,2
91600338,52403567,1960,3
91600339,52403567,1960,2
91600340,52403567,1960,3
91600341,52403567,1960,4
91600342,52403567,1960,4
91600343,52403567,1960,1
91600344,52403567,1960,1
