dealid,assetid,dealdate,assetarea,rescode,pricePerMeter_Jan2026
2942271960,30096427,22/06/1998 00:00,40.0,1,36421.38216482614
2942305860,30104792,22/06/1998 00:00,75.0,1,29842.70515841594
2942312760,30113006,22/06/1998 00:00,55.0,1,38770.23587087164
2942298450,30171078,23/06/1998 00:00,47.0,1,38414.98755337181
2942351130,30046349,23/06/1998 00:00,30.0,1,27082.566225127124
2942402100,30103757,23/06/1998 00:00,68.0,1,36760.14313518776
2942322930,30181946,25/06/1998 00:00,50.0,1,21666.0529801017
2942325420,30220024,25/06/1998 00:00,75.0,1,22081.111466310544
2942373180,30106393,25/06/1998 00:00,105.0,1,39163.732877277434
2942909790,30047524,25/06/1998 00:00,62.0,1,48150.131646082526
2942353170,30135353,28/06/1998 00:00,125.0,1,25575.90392018902
2942437290,30135118,28/06/1998 00:00,106.0,1,29073.672265100686
2942597160,30216500,28/06/1998 00:00,60.0,1,23762.098335456365
2942397720,30134341,01/07/1998 00:00,64.0,1,32970.16776591469
2942462040,30096080,01/07/1998 00:00,44.0,1,29778.365523089476
2942911230,30104888,01/07/1998 00:00,64.0,1,29760.68240817078
2942421480,30083524,02/07/1998 00:00,53.0,1,25837.36640196353
2942666250,30067054,02/07/1998 00:00,118.0,1,60503.826692672
2942436030,30045868,03/07/1998 00:00,81.0,1,26511.57377440534
2942556300,30182063,03/07/1998 00:00,80.0,1,23186.100281398412
2942453130,30053188,05/07/1998 00:00,36.0,1,40372.51614993683
2942466990,30120504,05/07/1998 00:00,67.0,1,32980.32895881573
2942691510,30191606,05/07/1998 00:00,85.0,1,17867.851460438094
2942964750,30137848,05/07/1998 00:00,50.0,1,28570.255111843948
2943075840,30052639,07/07/1998 00:00,80.0,1,40303.355522699254
2943076320,30052638,07/07/1998 00:00,105.0,1,9929.490053395291
2942776620,30208804,08/07/1998 00:00,93.0,1,26738.390885238263
2942779590,30050377,08/07/1998 00:00,82.0,1,56513.510098219405
2942997180,30155767,08/07/1998 00:00,125.0,1,23727.627992668655
2942535840,30121802,09/07/1998 00:00,40.0,1,29332.751027138256
2942548200,30107358,09/07/1998 00:00,100.0,1,22065.698120149627
2942605590,30162455,10/07/1998 00:00,88.0,1,27621.025503008175
2942684550,30059883,12/07/1998 00:00,96.0,1,43538.77611565725
2942733030,30119446,13/07/1998 00:00,89.0,1,30108.18541932589
2942645160,30182295,14/07/1998 00:00,85.0,1,17648.16476215402
2943131010,30065193,14/07/1998 00:00,95.0,1,39181.31534659484
2942730300,30060864,15/07/1998 00:00,57.0,1,43516.594664487304
2942764230,30051443,15/07/1998 00:00,80.0,1,39836.52128884559
2943179280,30166215,15/07/1998 00:00,81.0,1,26703.686627843064
2942728410,30174407,16/07/1998 00:00,52.0,1,34653.464282213936
2943506460,30158785,16/07/1998 00:00,100.0,1,24928.948087785404
2942660310,30067065,17/07/1998 00:00,250.0,1,96155.40326095105
2942687040,30053730,19/07/1998 00:00,75.0,1,30250.85835371712
2942733810,30217735,19/07/1998 00:00,100.0,1,17584.0894751545
2942912220,30051867,19/07/1998 00:00,114.0,1,39803.760991733056
2942690730,30105886,20/07/1998 00:00,100.0,1,31775.850184305742
2942742960,30133921,21/07/1998 00:00,145.0,1,37625.76606645815
2942896650,30216453,21/07/1998 00:00,64.0,1,25384.111465792725
2943047610,30129416,21/07/1998 00:00,97.0,1,32919.0325727735
2943192600,30089274,21/07/1998 00:00,54.0,1,34695.581330852205
2942866710,30101263,22/07/1998 00:00,85.0,1,31378.583404908706
2942929110,30115378,23/07/1998 00:00,94.0,1,35989.277460916855
2942774130,30047741,26/07/1998 00:00,40.0,1,40458.96693398381
2942814540,30133327,27/07/1998 00:00,105.0,1,32515.37489126757
2942888700,30173247,27/07/1998 00:00,85.0,1,20760.392987845084
2942916450,30184113,28/07/1998 00:00,48.0,1,23665.902132859115
2942852820,30061649,30/07/1998 00:00,100.0,1,40334.477804956165
2943003780,30220169,31/07/1998 00:00,91.0,1,34063.50893173953
2942915970,30155995,03/08/1998 00:00,100.0,1,31645.623634210424
2943012930,30173465,03/08/1998 00:00,76.0,1,42080.23931686281
2942912460,30119579,04/08/1998 00:00,96.0,1,38807.5546734557
2943200310,30086990,04/08/1998 00:00,75.0,1,19430.453560889637
2942926830,30173376,05/08/1998 00:00,77.0,1,34644.44696335876
2942936280,30173200,05/08/1998 00:00,72.0,1,37050.31133581422
2942983500,30106416,05/08/1998 00:00,100.0,1,29450.551474612013
2942996940,30089739,05/08/1998 00:00,100.0,1,24999.432928759677
2943042390,30103192,06/08/1998 00:00,115.0,1,39156.057726169725
2943465600,30156356,06/08/1998 00:00,85.0,1,32065.269782368945
2943285690,30200553,07/08/1998 00:00,61.0,1,28587.91610405945
2943407220,30063794,07/08/1998 00:00,60.0,1,39429.999903897384
2943284190,30063016,10/08/1998 00:00,153.0,1,28992.64698815984
2943032700,30049789,11/08/1998 00:00,75.0,1,47315.99988467686
2943206250,30081629,11/08/1998 00:00,55.0,1,25886.33077102166
2943297330,30113204,11/08/1998 00:00,56.0,1,35060.180326919064
2943024870,30176710,12/08/1998 00:00,100.0,1,28353.015394812806
2943144150,30209481,12/08/1998 00:00,292.0,1,19806.182870805675
2943173340,30053310,12/08/1998 00:00,84.0,1,50775.56136372647
2943198300,30094635,12/08/1998 00:00,69.0,1,29117.402439117406
2943259710,30216870,16/08/1998 00:00,71.0,1,26536.67047401835
2943164130,30184214,18/08/1998 00:00,54.0,1,23938.029724015592
2943088950,30217439,20/08/1998 00:00,75.0,1,19552.40201420066
2943089190,30116816,21/08/1998 00:00,58.0,1,41472.98692344699
2943025350,30089062,23/08/1998 00:00,46.0,1,32740.508660676776
2943040440,30177270,23/08/1998 00:00,43.0,1,23680.68802667536
2943088200,30129841,23/08/1998 00:00,75.0,1,24918.13395988566
2943094830,30120111,23/08/1998 00:00,100.0,1,27987.17003487974
2943169380,30113531,23/08/1998 00:00,150.0,1,33982.96898933836
2943527730,30094373,23/08/1998 00:00,45.0,1,39023.505059527306
2943026820,30089116,24/08/1998 00:00,55.0,1,3713.884714472059
