AssetID,BuildingID,BuildingYear,assetFloor
4786925,65041585,2017,2
4786926,65041585,2017,1
4786927,65041585,2017,9
4786928,65041585,2017,2
4786929,65041585,2017,7
4786930,65041585,2017,
4786931,65041585,2017,7
4786932,65041585,2017,9
4786933,65041585,2017,5
4786934,65041585,2017,2
4786935,65041585,2017,6
4786936,65041585,2017,
4786937,65041585,2017,3
4786938,65041585,2017,
4786939,65041585,2017,3
4786940,65041585,2017,8
4786941,65041585,2017,5
4786942,65041585,2017,5
4786945,65041585,2017,4
4786946,65041585,2017,5
4786947,65041585,2017,5
4786948,65041585,2017,9
4786949,65041585,2017,6
4786950,65041585,2017,3
4786954,65041585,2017,1
4786957,65041585,2017,4
4786958,65041585,2017,4
4786959,65041585,2017,1
4786960,65041585,2017,4
4786961,65041585,2017,9
4786962,65041585,2017,
4786963,65041585,2017,
4786964,65041585,2017,4
4786965,65041585,2017,3
4786966,65041585,2017,
4786967,65041585,2017,
4786969,65041585,2017,5
4787437,65041921,2000,1
4787438,65041921,2000,
4787439,65041921,2000,
4787441,65041921,2000,
4787442,65041921,2000,2
4787443,65041921,2000,
4787951,65043845,2015,3
4826333,65693210,1940,1
4826334,65693210,1940,1
4826388,65694287,1985,1
4827437,65709152,1920,1
4828364,65714548,1999,1
4828453,65716649,1940,4
4828454,65716649,1940,
4828455,65716649,1940,
4828456,65716649,1940,4
4828457,65716649,1940,4
4860844,67285121,2017,4
4882096,68339309,2022,5
4892154,72762037,2018,6
4892217,71177841,1950,1
4892218,71177841,1950,2
4892219,71177841,1950,1
4892220,71177841,1950,2
4892221,71177841,1950,1
4930142,73010278,,
30045268,53119455,1960,0
30045271,53119455,1960,2
30045276,53119455,1960,1
30045277,53119455,1960,1
30045280,53119455,1960,3
30045281,53119455,1960,3
30045284,52449747,1970,1
30045287,52449747,1970,2
30045291,52449747,1970,1
30045292,52449747,1970,1
30045294,52449747,1970,2
30045295,52449747,1970,3
30045298,52401357,1960,0
30045299,52401357,1960,1
30045300,52401357,1960,1
30045301,52401357,1960,2
30045303,52401357,1960,3
30045314,53315187,1960,1
30045319,53315187,1960,3
30045325,53315187,1960,3
30045332,52522333,2021,2
30045336,52522333,2021,1
30045338,52522333,2021,2
30045340,52522333,2021,3
30045346,52588820,1980,2
30045347,52588820,1980,3
30045357,52527193,1930,1
30045371,52531493,1930,1
30045373,52531493,1930,2
30045377,52531010,1940,2
30045378,52531010,1940,2
30045398,52562656,1940,0
30045399,52562656,1940,0
30045504,52433043,1980,1
30045508,52433043,1980,3
30045509,52433043,1980,4
30045520,52548813,1948,1
30045524,52549802,1960,1
30045525,52549802,1960,2
30045530,52549802,1960,4
30045532,52549802,1960,1
30045534,52549802,1960,2
30045535,52549802,1960,3
30045538,52549802,1960,4
30045540,52549802,1960,1
30045541,52549802,1960,2
30045545,52549802,1960,4
30045546,52549802,1960,4
30045548,52549802,1960,1
30045559,52462659,1960,2
30045565,52462659,1960,1
30045567,52462659,1960,2
30045568,52462659,1960,2
30045569,52462659,1960,3
30045579,52462659,1960,4
30045583,52462659,1960,2
30045588,52462659,1960,4
30045592,52413680,1960,2
30045593,52413680,1960,2
30045596,52413680,1960,4
30045602,52413680,1960,3
30045605,52413680,1960,4
30045613,52413680,1960,4
30045616,52413680,1960,2
30045617,52413680,1960,2
30045618,52413680,1960,3
30045620,52413680,1960,4
30045632,52544909,1960,1
30045636,52544909,1960,3
30045639,52544909,1960,1
30045645,52544909,1960,4
30045654,52523668,1960,4
30045660,52523668,2017,3
30045661,52523668,1960,3
30045662,52523668,1960,4
30045668,52523668,1960,3
30045671,52523668,1960,4
30045675,52551151,1960,2
30045677,52551151,1960,3
30045679,52551151,2015,1
30045682,52551151,1960,3
30045683,52551151,1960,3
30045690,52551151,1960,3
30045692,52551151,1960,0
30045713,52551151,1960,3
30045718,52413278,1960,3
30045723,52413278,1960,1
30045731,52413278,1960,1
30045734,52413278,1960,3
30045736,52413278,1960,4
30045738,53151891,1960,1
30045748,53151891,1960,3
30045760,53151891,1960,2
30045761,53151891,1960,3
30045780,52432119,1960,0
30045785,52432119,1960,2
30045786,52432119,1960,2
30045789,52413002,1960,0
30045793,52413002,1960,1
30045794,52413002,1960,1
30045795,52413002,1960,2
30045801,52550314,1970,1
30045804,52550314,1970,2
30045805,52550314,1970,3
30045807,52550314,1970,3
30045821,53052266,1970,1
30045824,52438591,1970,1
30045829,52438591,1970,3
30045830,52438591,1970,4
30045836,52438591,1970,3
30045841,52438591,1970,5
30045842,52438591,1970,6
30045852,52438591,1970,3
30045853,52438591,1970,4
30045860,52438591,1970,3
30045861,52438591,1970,4
30045863,52438591,1970,5
30045865,52438591,1970,6
30045866,52438591,1970,6
30045868,52438591,1970,0
30045869,52438591,1970,1
30045872,52438591,1970,2
30045874,52438591,1970,3
30045875,52438591,1970,4
30045885,53100353,1970,1
30045886,53100353,1970,1
30045887,53100353,1970,2
30045891,53100353,1970,4
30045892,53100353,1970,4
30045900,53100353,1970,2
30045901,53100353,1970,3
30045902,53100353,1970,3
30045903,53100353,1970,4
30045904,53100353,1970,4
30045906,53100353,1970,5
30045914,53100353,1970,0
30045915,53100353,1970,1
30045919,53100353,1970,3
30045921,53100353,1970,4
30045930,53100353,1970,4
30045934,53100353,1970,6
30045945,53100353,1970,2
30045949,53100353,1970,4
30045973,53100353,1970,4
30045974,53100353,1970,4
30045978,53100353,1970,5
30045982,53100353,1970,6
30045986,53100353,1970,7
30045991,52438591,1970,8
30046003,53100353,1970,-1
30046007,53100353,1970,1
30046017,53100353,1970,3
30046022,53100353,1970,4
30046023,53100353,1970,5
30046029,53100353,1970,6
30046032,53100353,1970,7
30046038,53100353,1970,8
30046072,52522895,1980,0
30046074,52522895,1980,1
30046077,52522895,1980,3
30046078,52522895,1980,3
