statID,average_Csvalue,X,Y,settlement,civil_labour_force.LaborForceY_pcnt,jobs.industrialJobs,jobs.commercialJobs,jobs.publicJobs,jobs.homeJobs,intraSAProb,intraYeshuvProb,interYeshuvProb,inOutRatio,housingValue.avgPricePerM2009
5780001,627233.4502,237220.3,770237.7,,,643.782,248.212,180.954,0,,,,,
5800001,627233.4502,199400.6,728022.6,580,80.4,12.472,27.781,38.726,0,,,,,17031.3361
5850001,627233.4502,241705.6,743668.1,,,18.675,15.685,9.092,0,,,,,
5850001,627233.4502,241705.6,743668.1,,,147.05,24.998,18.031,0,,,,,
5850001,627233.4502,241705.6,743668.1,,,151.258,285.463,198.896,10.277,,,,,
5870001,9920.240278,188596.1,661572.4,587,53.9,112.018,474.39,239.791,211.863,1.00E-05,1.00E-05,0.005763689,0.5,20995.30955
5900001,627233.4502,252206.8,721640.1,590,75.7,265.873,32.611,62.12,0,,,,,2514.675588
5910001,9920.240278,176175.9,636963.4,591,48.3,200.298,146.259,222.156,81.707,,,,,12190.37852
5920001,9920.240278,170923.2,636483.9,592,87.2,101.254,37.998,40.3,7.412,,,,,6830.634328
5980001,0,177380.1,595116.7,,,607.12,151.979,199.343,0,,,,,
6040001,9920.240278,193909.9,655886.3,604,71.7,40.343,135.689,15.279,4.696,,,,,13829.41763
6060001,9920.240278,193101.6,662071.6,606,77.9,125.465,129.54,105.022,16.543,,,,,15442.02627
6070001,627233.4502,241466.8,765822.1,607,57.1,148.443,171.91,304.774,14.84,,,,,5251.642652
6070001,627233.4502,241466.8,765822.1,607,57.1,7.63,14.878,8.275,0,,,,,5251.642652
6070001,627233.4502,241466.8,765822.1,607,57.1,8.155,4.778,51.526,0,,,,,5251.642652
6130001,627233.4502,226423.7,739004.4,613,69.5,513.209,81.691,87.895,5,,,,,9948.717028
6150001,9920.240278,180840.2,635925.4,615,62.3,104.038,44.887,130.438,0,,,,,13696.18121
6190001,0,190187.2,613453.9,619,82.5,62.702,52.483,159.01,2.116,,,,,5596.416737
6190001,0,190187.2,613453.9,619,82.5,0,0,2.533,0,,,,,5596.416737
6220001,0,173423.9,622592.9,,,33.293,52.642,356.311,1.989,,,,,4932.857936
6270001,9920.240278,195758.7,673266.3,627,49.2,62.056,150.782,370.578,0,1.00E-05,1.00E-05,1.00E-05,0.1,3990.40549
6340001,9920.240278,197489.6,669572.1,634,48.7,0,0,65.955,0,1.00E-05,1.30E-06,0.004752852,1,10209.68599
6340002,9920.240278,197806.9,669021.8,634,45.3,0,64.436024,370.423051,0,,,,,8218.339186
6340003,9920.240278,198257.5,668768.3,634,44.6,8.776,211.806975,240.784,0,,,,,3120.892913
6340004,9920.240278,,,,,,,,,,,,,
6360001,627233.4502,230625.2,714280.9,636,35.3,57.608,26.314,32.599,0,,,,,
6380001,27854.73736,197616,688936.2,638,32,0,0,0,0,1.00E-05,1.33E-06,0.004842615,1.1,
6380002,27854.73736,198677.9,688596.7,638,21.4,17.086,120.309,0,0,,,,,1813.471503
6380003,27854.73736,198459,687580.6,638,35.8,0,0,0,0,,,,,
6380004,27854.73736,,,,,,,,,,,,,
6640001,627233.4502,244036.5,771484.7,664,62,89.208,12.032,3.458,0,,,,,1842.327362
6640001,627233.4502,244036.5,771484.7,664,62,40.155,16.015,12.915,0,,,,,1842.327362
6660001,0,185717.4,575232.8,666,59.9,470.627,1999.616,696.934,62.088,1.00E-05,1.00E-05,0.008253095,0.166666667,8920.994287
6680001,0,158453.8,601286.7,668,64.5,36.194,41.801,81.213,0,,,,,
6730001,9920.240278,192952.1,654159.9,673,73.5,124.616,272.959,16.12,12.996,,,,,13689.61266
6740001,627233.4502,210900.3,773886.7,674,75.1,150.362,210.34,491.73,0,,,,,9635.941443
6780001,627233.4502,256570.2,734723.8,678,71.2,253.995,424.224,313.795,0,,,,,
6810002,9920.240278,185854,665225.1,681,70.9,76.082,993.078223,587.121876,0,5.68E-05,4.55E-05,0.053941909,1.038461538,11484.45944
6810003,9920.240278,185841.4,664778.8,681,55.6,48.589,1242.716957,334.377739,66.873737,2.77E-05,4.84E-05,0.058080808,1,10956.27092
6810004,9920.240278,,,,,,,,,,,,,
6810005,9920.240278,185660.2,664031.9,,,38.35279,399.749447,171.033996,53.032382,8.50E-05,4.25E-05,0.081395349,0.952380952,12992.09199
6930001,9413.210709,198419.2,621744.5,693,98.2,257.175,55.864,76.981,0,,,,,
6960001,9920.240278,186019.4,655241.2,696,55.8,276.595,215.409,679.972,21.994,1.00E-05,1.00E-05,1.00E-05,0.1,9264.450298
6970001,27854.73736,198648.3,691999.8,697,74.4,42.982,57.246,46.994,0,,,,,12375.55251
7090001,0,169365.7,581641.6,709,43.4,52.154,245.102,280.973,0,1.00E-05,1.00E-05,0.004807692,0.1,
7180001,9920.240278,197131,673287.4,718,63.2,37.568,19.129,14.81,0,,,,,11333.6878
7220001,9920.240278,190607,661505,722,75.2,115.186,332.875,27.048,0,,,,,20594.54261
7230001,0,162611.8,592806.1,723,57.1,91.868,52.738,73.545,0,,,,,
7290001,9920.240278,183473.5,657470.7,729,74.7,357.113,397.985,104.516,14.704,,,,,11225.23865
7350001,9920.240278,186493.7,642385.9,735,68.6,39.388,39.369,46.991,0,,,,,13629.439
7380001,627233.4502,,,,,,,,,,,,,
7530001,27854.73736,,,,,,,,,,,,,
7600001,9920.240278,,,,,,,,,,,,,
7660001,0,,,,,,,,,,,,,
7730001,627233.4502,,,,,,,,,,,,,
7870001,9413.210709,,,,,,,,,,,,,
8010001,9920.240278,,,,,,,,,,,,,
8060001,0,,,,,,,,,,,,,
8070001,27854.73736,,,,,,,,,,,,,
