BLDG_ID,Height,Usage,SAID,X,Y,Area,travel_time,travel_distance
51664024,,6520,90000623,179972.4661,572007.3786,2474.2717,,
51664043,,,20210001,171463.9461,581776.9228,1434.81535,,
51664062,,,90000645,180956.9352,576300.7764,1737.0183,,
51664083,,6535,90000121,180291.6266,574920.1653,1578.6037,,
51664109,,5310,11610002,177690.2619,589177.3292,2262.22275,,
51664117,,5523,11610011,177912.7355,588825.122,816.7520559,,
51664122,,,90000213,179387.6508,575201.9698,1734.5902,,
51664140,,5740,90000634,181216.953,574342.5736,2148.8171,,
51664265,,5523,90000611,179819.3909,572301.6088,722.7663805,,
51664407,,5523,13030001,193402.1752,578780.8282,570.006792,,
51664442,,6512,90000133,179945.7999,574275.5752,286.4348,,
51664472,,5523,11610007,176032.3993,588938.1935,585.698,,
51664507,,6535,6660001,184663.2994,575688.4914,2755.9794,,
51664512,,,90000645,180830.9969,576244.5395,2080.885948,,
51664519,,,90000431,178790.8734,573270.4431,2217.9862,,
51664524,,5523,13030001,194180.3629,578133.9515,954.2966,,
51664529,,5600,90000623,180794.1408,572927.6163,3859.1977,,
51664538,,,90000645,181544.4401,577029.3067,1381.15155,,
51664544,,,90000513,180327.1242,573634.9412,908.3075,,
51664595,,,90000434,179362.7879,573377.3831,1091.684358,,
51664651,,,90000113,179898.9658,575247.4007,1154.642994,,
51664759,,5900,90000611,179443.144,572502.4439,1897.0702,,
51664762,,,90000634,180959.9278,573459.7403,1870.8092,,
51664835,,5000,12710001,181437.6226,586815.3804,651.69155,,
51664913,,5523,13030001,195170.6594,579048.2393,477.6895377,,
51665202,,,10600001,0,0,619.1059,,
51665262,,5523,11610002,177576.5696,589539.0708,515.57225,,
51665402,,,10600001,188184.3148,581510.7456,455.3731624,,
51665505,,,90000513,180326.0699,573615.8144,843.22445,,
51665792,,5523,11610001,177504.0343,589866.4274,488.73255,,
51666057,,5305,90000434,179510.6285,573409.9273,466.4993927,,
51666303,,5503,10540003,186088.2585,572543.2608,517.8130797,,
51666329,,,90000411,175962.526,574159.6933,736.47655,,
51666672,,5740,90000216,178961.3299,574261.4894,536.18535,,
51666727,,,90000634,181015.5712,573587.21,705.1419,,
51666731,,,90000434,179296.2747,573556.2076,724.61305,,
51667301,,,10600001,188460.1731,581628.6858,497.6381018,,
51667562,,5523,10600001,187798.8852,581848.3948,362.42235,,
51667669,,,12710001,182087.4831,586491.2222,222.5492,,
51667672,,,12710001,182308.5,586295.1875,305.36435,,
51667798,,5740,90000512,180056.5168,573681.3765,464.966,,
51667804,,5740,90000222,178030.3017,574026.0469,520.63505,,
51667991,,,90000421,176857.0156,573470.3125,501.6696659,,
51668048,,,90000421,176872.4531,573519.75,409.3159865,,
51668078,,,13030001,192782.9688,579356.8125,165.5546,,
51668193,,6535,90000612,179637.5483,572189.684,441.2341,,
51668452,,5523,12860001,184857.8535,567839.6652,385.2644,,
51669850,,,90000216,178481.8066,574442.0516,439.759,,
52570338,,,5980001,177167.972,595475.0398,244.8141738,,
52570675,,,12650001,189371.7719,593280.0198,334.3341,,
52570720,,,12650001,189107.8598,593416.4273,39.3199414,,
52570744,,,12650001,189101.9876,593492.934,39.940754,,
52571018,,,5980001,177557.8112,594939.6432,418.2075,,
52571232,,,5980001,177384.1942,595033.2548,177.65015,,
52589898,,,5980001,177286.2622,594702.8523,211.502,,
52599401,,,5980001,177279.5643,595252.3275,287.25245,,
52600704,,,5980001,177110.6584,595583.1709,144.8122072,,
52600735,,7300,5980001,177659.4438,595175.9833,1985.524836,,
52601805,,,12650001,188816.5737,593281.7518,57.6482265,,
52604993,,,13030001,193842.8037,578851.0814,76.181372,,
52605475,,,13030001,193563.5198,579081.5838,27.5306625,,
52605847,,,5980001,177253.5331,595431.5006,214.2203957,,
52605944,,,5980001,177444.2927,595500.6485,206.3045597,,
52606325,,,5980001,177364.3784,595568.2804,252.8729843,,
52606473,,,5980001,177331.2239,595457.2537,222.0718397,,
52607508,,,5980001,177225.3806,595444.7198,185.9496691,,
52607740,,,5980001,177522.3171,595476.5389,281.178,,
52610326,,,5980001,177208.4357,595523.7804,250.44065,,
52610444,,,5980001,177063.2664,595524.3365,217.0735056,,
52611404,,,5980001,177096.3608,595438.1354,209.72135,,
52614644,,5305,5980001,177325.7893,595201.3532,364.6231347,,
52615485,,,5980001,177361.7639,595106.1666,81.286,,
52615494,,,5980001,0,0,17.3241,,
52616336,,,5980001,177688.8118,595210.8747,81.3160299,,
52616362,,,5980001,177213.2642,595503.0772,232.7675,,
52616421,,,12650001,188933.2291,593432.7728,19.10337033,,
52616827,,,5980001,177734.5151,595427.1756,74.54115,,
52617168,,,13030001,194170.2234,578619.0666,59.27853067,,
52617331,,,5980001,177523.7152,595246.8537,181.5880512,,
52617787,,,12650001,188932.8791,593417.437,416.5151,,
52618307,,,5980001,177464.191,595014.3383,52.38561053,,
52618409,,,12650001,189345.8985,593837.7733,140.2608,,
52618416,,,12650001,188942.6688,593564.6456,129.3706279,,
52618666,,,5980001,177610.441,595161.1431,58.5701752,,
52618787,,,12650001,189134.3994,593400.5631,71.16405001,,
52619288,,,12650001,188875.7818,593350.6416,73.96189785,,
52619356,,,12650001,188830.3229,593567.6548,263.2361972,,
52620149,,,13030001,193097.972,578559.3183,221.2991902,,
52620157,,,13590001,190905.2633,577582.0432,277.1792349,,
52620620,,,90000645,185533.7308,579188.0752,197.9224573,,
52620792,,,5980001,177275.257,595467.8206,175.1964593,,
52621508,,,11610003,176380.1146,590281.8677,138.3925,,
52621640,,,13030001,194943.4824,578862.3308,204.8853173,,
52621644,,,12650001,188920.4407,593440.7566,130.1049143,,
52621667,,,5980001,177481.4801,595375.1537,245.2986976,,
52621701,,,12650001,188814.5594,593303.9111,61.19485001,,
52622214,,,5980001,177212.5995,595462.4322,241.2419,,
