locality_stat,Ages.65LiveAlone65_pcnt,Ages65.LiveInstM_pcnt,LaborForce.LaborForceY_pcnt,LaborForce.Wrk2008Y_pcnt,disabilities.hear5_pcnt,disabilities.see5_pcnt,disabilities.remember5_pcnt,disabilities.dress5_pcnt,disabilities.walk5_pcnt,durable_goods.Vehicle1up_pcnt,durable_goods.Vehicle2up_pcnt,households.hh0_17_pcnt,households.hh65_pcnt,households.size_avg,households.size1_pcnt,households.size2_pcnt,households.size3_pcnt,households.size4_pcnt,households.size5_pcnt,households.size6_pcnt,households.size7up_pcnt,households.size7up_pcnt,households.hh0_17_1_pcnt,households.hh0_17_2_pcnt,households.hh0_17_3_pcnt,households.hh0_17_4_pcnt,households.hh0_17_5_pcnt,demog_yishuv.age_0_14,demog_yishuv.age_15_19,demog_yishuv.age_20_29,demog_yishuv.age_30_64,demog_yishuv.age_65_up,income.medianWage,income.q1,income.q2,income.q3,income.q4,income.q5,income.q6,income.q7,income.q8,income.q9,income.q10,YISHUV,USAGE,METRO_ZONEcomm31,comm31,comm34,comm99
90000612,24.9,2.9,58.8,90.6,3.6,0.7,2,2.5,6.3,56,15.6,46.8,22.2,3.4,18.6,22.2,15.3,18.2,14.2,6.1,5.3,5.3,40.3,31.5,19.1,7.3,1.8,800.0,200.0,600.0,1200.0,300.0,49186,11.42643764,10.08215086,12.32262883,13.44286781,10.30619866,9.858103062,10.67961165,8.887229276,7.542942494,5.451829724,9000,1,31,0.402327723,0.078218138,0.519454138
90000613,13.5,,59,96.5,2.8,0.2,1.2,1.5,3,87.9,28.7,55.8,20.5,3.9,6.5,19.1,12.3,22.4,24.2,11.6,3.9,3.9,27.7,28.6,32.2,9.7,1.8,1100.0,400.0,700.0,1800.0,400.0,71898.5,9.398186315,9.109645507,7.46084089,9.027205276,8.244023083,8.079142622,9.43940643,10.18136851,12.32481451,16.73536686,9000,1,31,0.402327723,0.078218138,0.519454138
90000614,26.5,,53.8,98.1,5.8,0.3,5.3,10.4,15.1,34.9,7.5,31.1,45.8,2.8,15.9,33,20.6,19.4,6.8,3.4,0.8,0.8,59.9,23.5,11.8,2.2,2.7,400.0,200.0,200.0,900.0,500.0,52589,10.81632653,13.36734694,10.30612245,10.20408163,11.2244898,13.57142857,10.91836735,10.30612245,6.93877551,2.346938776,9000,1,31,0.402327723,0.078218138,0.519454138
90000623,31.2,42.2,51,95.4,3.8,2.5,2,1.5,6.6,40.4,4,28.7,28.4,3.1,20.4,29.2,14.1,15.6,9.6,2.7,8.2,8.2,37.7,39,21.4,,1.9,200.0,,400.0,400.0,300.0,,,,,,,,,,,,9000,1,31,0.402327723,0.078218138,0.519454138
90000631,64.9,55.8,67.9,97.8,2.2,0.7,3.6,2.6,7.8,41.9,3.9,14.3,24.9,2,52.2,24.6,7.6,7.4,3.8,3.9,0.5,0.5,47.8,33.7,14.7,3.7,,600.0,200.0,1100.0,1900.0,1000.0,45560,11.63934426,14.42622951,12.24043716,12.45901639,11.2568306,9.945355191,9.836065574,8.743169399,6.338797814,3.114754098,9000,1,31,0.402327723,0.078218138,0.519454138
90000632,23.6,,41.4,96.2,3.1,1,2.9,1.9,6.4,37.1,1.7,24.1,27,2.6,29.4,31,16.2,9.5,7.1,3.5,3.2,3.2,32.2,37.3,20.5,7.7,2.3,700.0,200.0,1400.0,1400.0,500.0,43317,13.67989056,14.6374829,13.26949384,10.60191518,11.96990424,10.94391245,9.575923393,7.113543092,5.12995896,3.077975376,9000,1,31,0.402327723,0.078218138,0.519454138
90000633,45.3,3.6,55.3,96.1,1.7,0.3,0.8,0.6,2.1,25.8,1.3,9.1,8.2,1.9,46.7,37.2,8.8,2,2.4,1.5,1.3,1.3,28.2,23.5,17.5,16.2,14.6,400.0,100.0,600.0,900.0,400.0,34338.5,17.0212766,17.13947991,13.94799054,13.4751773,11.22931442,7.328605201,7.68321513,6.619385343,4.137115839,1.418439716,9000,1,31,0.402327723,0.078218138,0.519454138
90000641,6.1,,66.9,98.2,1.2,,1.4,1,2.8,78.9,19.9,47.6,22,3.6,8.7,23.7,14.5,19.4,21.8,9.2,2.6,2.6,42.6,19.6,32.6,3.4,1.8,600.0,400.0,500.0,1200.0,200.0,62704,11.283323,8.803471792,9.485430874,9.919404836,8.679479231,7.935523869,9.609423435,11.40731556,11.22132672,11.65530068,9000,1,31,0.402327723,0.078218138,0.519454138
90000642,37.9,,66.1,97,1,0.5,1.2,1,2,85.5,28.3,68,11.2,4,8.3,12.8,14,21.7,28.6,12.5,2.1,2.1,32,32.1,22,12.2,1.8,1100.0,400.0,800.0,1800.0,200.0,72470,10.16719385,9.534568459,7.546317216,8.088567555,7.546317216,8.22413014,9.624943516,12.20063263,12.92363308,14.14369634,9000,1,31,0.402327723,0.078218138,0.519454138
90000643,24.4,,71.8,97.9,2.5,,1.6,1,2.4,90.2,33.8,60.6,13,3.5,6.5,19,23.7,29.1,15.8,4.7,1.2,1.2,40.3,44.1,11.2,3.8,0.7,1400.0,400.0,600.0,2200.0,200.0,87732.5,8.920704846,7.672540382,6.571218796,6.718061674,6.571218796,7.378854626,8.700440529,11.78414097,15.93245228,19.75036711,9000,1,31,0.402327723,0.078218138,0.519454138
