ParamVaried,wservice,eld_movef,svc_filter,Replicate,PopChange_E,PopChange_NE,SAServiceAvg_E,SAServiceAvg_NE,SAServiceDelta_E,SAServiceDelta_NE,BldServiceAvg_E,BldServiceAvg_NE,BldServiceDelta_E,BldServiceDelta_NE,NormAssetsCity_Avg_E,NormAssetsCity_Avg_NE,NormAssetsCity_Delta_E,NormAssetsCity_Delta_NE,NormAssetsSA_Avg_E,NormAssetsSA_Avg_NE,NormAssetsSA_Delta_E,NormAssetsSA_Delta_NE,AttemptSA_Avg_E,AttemptSA_Avg_NE,AttemptSA_Delta_E,AttemptSA_Delta_NE,AttemptCity_Avg_E,AttemptCity_Avg_NE,AttemptCity_Delta_E,AttemptCity_Delta_NE,SuccessSA_Avg_E,SuccessSA_Avg_NE,SuccessSA_Delta_E,SuccessSA_Delta_NE,SuccessCity_Avg_E,SuccessCity_Avg_NE,SuccessCity_Delta_E,SuccessCity_Delta_NE
eld_movef,0,0,0,4,-46,-407,2.36727804323694,0.567988522796693,0.82347056003815,0.997868308450687,0.848688656847167,0.812470896911064,1.10304055709831,1.01424599248873,998.600100910926,1407.96114763335,NaN,-2425.4,73.2720613874961,78.5487134379425,NaN,NaN,0.00213436902356942,0.00239723094881316,0,-1.26795744734807e-05,0.00139134690925761,0.00185404454695658,0,3.36733889753859e-05,0.35864743304182,0.32737946035046,NaN,NaN,0.604711108383789,0.59662465289212,NaN,-0.8
eld_movef,0,0,0,5,-75,-288,2.38953127759839,0.576065935802316,0.868729836845938,1.02098590460412,0.859824986274032,0.832713372010244,1.11712214006893,1.04193879724113,853.188672639275,1342.19895808526,NaN,-2541.6,87.836057723896,110.220885202444,NaN,NaN,0.00227031215300679,0.00241075759957169,0,0,0.0015310978775996,0.0018660652058035,0,-3.01202157609813e-05,0.291319246966967,0.397850970584355,NaN,NaN,0.472909954837666,0.60168917903279,NaN,-0.8
eld_movef,0,0.25,0,1,-69,-416,2.37651024632453,0.571936530689359,0.856759442070626,1.01749070410051,0.861780530611538,0.825359357325509,1.12460241534321,1.03528570476407,864.169432999627,1293.64933660415,-3080,-206.545454545455,68.5882200252503,72.2351410229035,NaN,0,0.0021932380703203,0.00235227595757904,0,0,0.00149998203894322,0.00188057326726325,4.30098411503197e-06,-0.000185522249291002,0.445961079220991,0.321215072982249,NaN,0,0.47298611362094,0.58163060843069,-1,-0.272727272727273
eld_movef,0,0.25,0,2,-52,-411,2.39648813547144,0.580157183229814,0.879082297923655,1.03707529535531,0.859359859672411,0.832365288889285,1.11825626210969,1.04567942634405,697.355959106807,1252.33342585777,NaN,-2863.33333333333,48.3103830359976,54.1782187371025,NaN,0,0.00228905021376813,0.00243135222072758,-6.97495989398061e-05,-1.4333218667584e-05,0.00156757436804542,0.00192479601690247,-0.000247524752475248,3.41076851565672e-05,0.231130343349516,0.277390550901518,NaN,0,0.516396562477071,0.55913205006174,NaN,-0.833333333333333
eld_movef,0,0.25,0,3,-48,-430,2.39011553160838,0.58304080987346,0.910712946672544,1.05590102348075,0.889451060181047,0.839746515265296,1.17436310340605,1.05953087805402,1329.39691188041,1336.83695042405,NaN,-922,92.089998789713,68.9092983597939,NaN,-324,0.00223311213681087,0.00242667827462083,0,-8.3303492479571e-05,0.00154774296758169,0.00195898370678484,0,2.55481307890332e-06,0.42476639689497,0.325476025449503,NaN,-0.5,0.646570941515867,0.583372033378904,NaN,-0.5
eld_movef,0,0.25,0,4,-65,-321,2.36816625421909,0.562290787306058,0.820911564914267,0.981709244022845,0.841289444672165,0.81024376258188,1.07940980726386,0.997881141042701,1149.90970725496,1260.60480956091,NaN,-2211,91.6257497833299,77.831690172651,NaN,-200.5,0.00213765962425331,0.00235849609176259,0,-0.000188718036713889,0.00140776959534199,0.00179346477447018,0,1.58416041723606e-06,0.321228821742551,0.378351100876936,NaN,-0.5,0.528401876091515,0.574945832940055,NaN,-0.8
eld_movef,0,0.25,0,5,-56,-309,2.40201370126246,0.588082803362957,0.889626182994579,1.0475890659649,0.869177544742009,0.836438704187026,1.12447755677149,1.04024086566481,1249.10342424348,1223.28976179976,NaN,-437,61.9620826491516,66.7034168435564,NaN,NaN,0.00217966944237211,0.0024149698305196,0,0,0.00150183670127936,0.00184668948503027,0,9.56117017497492e-05,0.315099890530925,0.284716598637288,NaN,NaN,0.579526530370257,0.561094554377608,NaN,-1
eld_movef,0,0.5,0,1,-63,-409,2.39286203546896,0.575677736520572,0.897411942849089,1.03591585524957,0.872963367368879,0.832850886530818,1.1510213866372,1.05569014325467,864.65877893067,1383.31229592833,NaN,-2834.6,72.6093236676322,69.7254193917769,NaN,NaN,0.00217859847882776,0.00240386075165008,0,0,0.00147638364938016,0.0018763262777703,0.000502765208647562,9.69898147240495e-05,0.311022722221333,0.317430456542836,NaN,NaN,0.59335499186412,0.594530249635666,NaN,-1
eld_movef,0,0.5,0,2,-105,-422,2.37821488213182,0.571717651516727,0.853376237890956,1.02026894414094,0.857559824763785,0.825166226669757,1.1184316994357,1.03856891695755,740.069502011941,1334.51592083633,NaN,-2858.44444444444,70.155502638938,68.6954830201206,NaN,0,0.00212681151913761,0.00239808034709755,0,-2.42706664725013e-05,0.00153845270950328,0.00188915852148905,0.000253936008125952,3.54298852888797e-05,0.303828056665799,0.332131337515556,NaN,0,0.489875935922788,0.583492534303043,NaN,-1
eld_movef,0,0.5,0,3,-74,-411,2.38203612454708,0.581004255557047,0.850122078486914,1.03551761988909,0.865561001689509,0.838788920658409,1.1204463571935,1.04894769292538,1277.52302731053,1262.32963429587,NaN,-1889,61.3076965144842,88.4667788233589,NaN,NaN,0.00224696505152819,0.00243404544489534,0,-8.58748507887152e-05,0.00156644920532414,0.00187374011071158,0,0.00015955869591715,0.298096447622785,0.334117520844576,NaN,NaN,0.573478003285696,0.579837834172425,NaN,-0.666666666666667
